Category,Column,Row Indices
DUPLICATE_ROWS,Row Group,3313-4371
DUPLICATE_ROWS,Row Group,5454-6503
DUPLICATE_ROWS,Row Group,3316-4374
DUPLICATE_ROWS,Row Group,5457-6506
DUPLICATE_ROWS,Row Group,3314-4372
DUPLICATE_ROWS,Row Group,5456-6505
DUPLICATE_ROWS,Row Group,3315-4373
DUPLICATE_ROWS,Row Group,3317-4375-5458
DUPLICATE_ROWS,Row Group,5459-6507
DUPLICATE_ROWS,Row Group,4-1075
DUPLICATE_ROWS,Row Group,3318-4376
DUPLICATE_ROWS,Row Group,5-1076
DUPLICATE_ROWS,Row Group,5461-6509
DUPLICATE_ROWS,Row Group,4378-5462
DUPLICATE_ROWS,Row Group,4379-5463-6510
DUPLICATE_ROWS,Row Group,2210-3321
DUPLICATE_ROWS,Row Group,4380-5464-6511
DUPLICATE_ROWS,Row Group,4381-5465
DUPLICATE_ROWS,Row Group,12-1081
DUPLICATE_ROWS,Row Group,2211-3322
DUPLICATE_ROWS,Row Group,3323-4383
DUPLICATE_ROWS,Row Group,5467-6513
DUPLICATE_ROWS,Row Group,3324-4384
DUPLICATE_ROWS,Row Group,3325-4385
DUPLICATE_ROWS,Row Group,3326-4386
DUPLICATE_ROWS,Row Group,5468-6514
DUPLICATE_ROWS,Row Group,5469-6515
DUPLICATE_ROWS,Row Group,5471-6517
DUPLICATE_ROWS,Row Group,5472-6518
DUPLICATE_ROWS,Row Group,5475-6521
DUPLICATE_ROWS,Row Group,3327-4390
DUPLICATE_ROWS,Row Group,4389-5474-6520
DUPLICATE_ROWS,Row Group,13-1082
DUPLICATE_ROWS,Row Group,5476-6522
DUPLICATE_ROWS,Row Group,15-1084
DUPLICATE_ROWS,Row Group,17-1086
DUPLICATE_ROWS,Row Group,3332-4393
DUPLICATE_ROWS,Row Group,3334-4395
DUPLICATE_ROWS,Row Group,3333-4394
DUPLICATE_ROWS,Row Group,27-1104
DUPLICATE_ROWS,Row Group,28-1105
DUPLICATE_ROWS,Row Group,30-1107
DUPLICATE_ROWS,Row Group,33-1110
DUPLICATE_ROWS,Row Group,37-1114
DUPLICATE_ROWS,Row Group,2243-4411
DUPLICATE_ROWS,Row Group,5492-6539
DUPLICATE_ROWS,Row Group,39-1117
DUPLICATE_ROWS,Row Group,4413-5494
DUPLICATE_ROWS,Row Group,3353-4414-5495
DUPLICATE_ROWS,Row Group,44-1122
DUPLICATE_ROWS,Row Group,5500-6546
DUPLICATE_ROWS,Row Group,2259-3365-4430
DUPLICATE_ROWS,Row Group,2260-3366-4431
DUPLICATE_ROWS,Row Group,2261-3367
DUPLICATE_ROWS,Row Group,5509-6558
DUPLICATE_ROWS,Row Group,3368-4434
DUPLICATE_ROWS,Row Group,5510-6559
DUPLICATE_ROWS,Row Group,1148-2262-3369
DUPLICATE_ROWS,Row Group,2263-3370
DUPLICATE_ROWS,Row Group,1150-2264-3371
DUPLICATE_ROWS,Row Group,2265-3372
DUPLICATE_ROWS,Row Group,1153-2266
DUPLICATE_ROWS,Row Group,74-1154-2267
DUPLICATE_ROWS,Row Group,3378-4440
DUPLICATE_ROWS,Row Group,3379-4441
DUPLICATE_ROWS,Row Group,5517-6571
DUPLICATE_ROWS,Row Group,3416-4474
DUPLICATE_ROWS,Row Group,3417-4475
DUPLICATE_ROWS,Row Group,5536-6586
DUPLICATE_ROWS,Row Group,5546-6597
DUPLICATE_ROWS,Row Group,5547-6599
DUPLICATE_ROWS,Row Group,5548-6598
DUPLICATE_ROWS,Row Group,5549-6600
DUPLICATE_ROWS,Row Group,5551-6603
DUPLICATE_ROWS,Row Group,5553-6604
DUPLICATE_ROWS,Row Group,122-1228
DUPLICATE_ROWS,Row Group,3433-4490
DUPLICATE_ROWS,Row Group,124-1232
DUPLICATE_ROWS,Row Group,3435-4494
DUPLICATE_ROWS,Row Group,3436-4495
DUPLICATE_ROWS,Row Group,3442-4500
DUPLICATE_ROWS,Row Group,3443-4505
DUPLICATE_ROWS,Row Group,3445-4503
DUPLICATE_ROWS,Row Group,5568-6630
DUPLICATE_ROWS,Row Group,3447-4508-5572
DUPLICATE_ROWS,Row Group,3448-4506
DUPLICATE_ROWS,Row Group,5573-6635
DUPLICATE_ROWS,Row Group,138-1251
DUPLICATE_ROWS,Row Group,5575-6640
DUPLICATE_ROWS,Row Group,141-1254
DUPLICATE_ROWS,Row Group,142-1255
DUPLICATE_ROWS,Row Group,143-1256
DUPLICATE_ROWS,Row Group,2362-3456-4516
DUPLICATE_ROWS,Row Group,5576-6641
DUPLICATE_ROWS,Row Group,5578-6643
DUPLICATE_ROWS,Row Group,5583-6648
DUPLICATE_ROWS,Row Group,148-1261
DUPLICATE_ROWS,Row Group,152-1265
DUPLICATE_ROWS,Row Group,5588-6650
DUPLICATE_ROWS,Row Group,3466-4526
DUPLICATE_ROWS,Row Group,3467-4527
DUPLICATE_ROWS,Row Group,3470-4530
DUPLICATE_ROWS,Row Group,3472-4532
DUPLICATE_ROWS,Row Group,5592-6665
DUPLICATE_ROWS,Row Group,3475-4535
DUPLICATE_ROWS,Row Group,3476-4536
DUPLICATE_ROWS,Row Group,3479-4539
DUPLICATE_ROWS,Row Group,184-1285
DUPLICATE_ROWS,Row Group,5600-6667
DUPLICATE_ROWS,Row Group,5601-6668
DUPLICATE_ROWS,Row Group,4541-5602
DUPLICATE_ROWS,Row Group,4542-5603
DUPLICATE_ROWS,Row Group,3483-4543
DUPLICATE_ROWS,Row Group,3484-4544-5605
DUPLICATE_ROWS,Row Group,2397-4545
DUPLICATE_ROWS,Row Group,3489-4549
DUPLICATE_ROWS,Row Group,3490-4550
DUPLICATE_ROWS,Row Group,3491-4551
DUPLICATE_ROWS,Row Group,3498-4558
DUPLICATE_ROWS,Row Group,3502-4562
DUPLICATE_ROWS,Row Group,3503-4563
DUPLICATE_ROWS,Row Group,196-1304
DUPLICATE_ROWS,Row Group,3505-4565
DUPLICATE_ROWS,Row Group,3506-4566
DUPLICATE_ROWS,Row Group,3507-4567
DUPLICATE_ROWS,Row Group,197-1307
DUPLICATE_ROWS,Row Group,201-1311
DUPLICATE_ROWS,Row Group,203-1313
DUPLICATE_ROWS,Row Group,3510-4570
DUPLICATE_ROWS,Row Group,5611-6678
DUPLICATE_ROWS,Row Group,5616-6683
DUPLICATE_ROWS,Row Group,5620-6686
DUPLICATE_ROWS,Row Group,5624-6690
DUPLICATE_ROWS,Row Group,5625-6691
DUPLICATE_ROWS,Row Group,5626-6692
DUPLICATE_ROWS,Row Group,204-1314
DUPLICATE_ROWS,Row Group,207-1318
DUPLICATE_ROWS,Row Group,208-1321
DUPLICATE_ROWS,Row Group,5643-6696
DUPLICATE_ROWS,Row Group,3526-4583
DUPLICATE_ROWS,Row Group,234-1334
DUPLICATE_ROWS,Row Group,3531-4588
DUPLICATE_ROWS,Row Group,5648-6700
DUPLICATE_ROWS,Row Group,239-1337
DUPLICATE_ROWS,Row Group,3534-4595
DUPLICATE_ROWS,Row Group,2450-3539-4599
DUPLICATE_ROWS,Row Group,3542-4597
DUPLICATE_ROWS,Row Group,3544-4600
DUPLICATE_ROWS,Row Group,2447-4590
DUPLICATE_ROWS,Row Group,3537-4592
DUPLICATE_ROWS,Row Group,2456-4604
DUPLICATE_ROWS,Row Group,3547-4605
DUPLICATE_ROWS,Row Group,3548-4606
DUPLICATE_ROWS,Row Group,248-1346
DUPLICATE_ROWS,Row Group,3551-4609
DUPLICATE_ROWS,Row Group,3552-4610
DUPLICATE_ROWS,Row Group,257-1355
DUPLICATE_ROWS,Row Group,251-1349
DUPLICATE_ROWS,Row Group,3555-4613
DUPLICATE_ROWS,Row Group,3557-4615
DUPLICATE_ROWS,Row Group,2474-3560
DUPLICATE_ROWS,Row Group,2475-3561
DUPLICATE_ROWS,Row Group,3558-4616
DUPLICATE_ROWS,Row Group,5652-6705
